Utterance,Emotion,,,,,,
"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""",happy,,,,,,
"Hey, that was really good!",happy,,,,,,
Thanks! Let's keep going.,happy,,,,,,
"Okay. ""So. Whaddya want from me, Damone, huh?""",neutral,,,,,,
"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""",neutral,,,,,,
"""Smoke away.""",neutral,,,,,,
I think this is probably why Damone smokes in his cell alone.,neutral,,,,,,
What?,fearful,,,,,,
Relax your hand!,happy,,,,,,
Not so much!,happy,,,,,,
Whoah!,fearful,,,,,,
Hey!,happy,,,,,,
Hey!,happy,,,,,,
"Alright, now try taking a puff.",neutral,,,,,,
Alright.. okay. No. Give it to me.,neutral,,,,,,
"No no no, I am not giving you a cigarette.",neutral,,,,,,
"It's fine, it's fine. Look, do you wanna get this part, or not? Here.",happy,,,,,,
"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.",happy,,,,,,
Y'miss it?,neutral,,,,,,
"Nah, not so much. Alright, now we smoke. Oh.. my.. God.",fearful,,,,,,
Hi.. how was the game?,neutral,,,,,,
Well..,neutral,,,,,,
WE WON!! Thank you! Yes!,happy,,,,,,
Fantastic! I have one question: How is that possible?,happy,,,,,,
Alan.,neutral,,,,,,
"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...",happy,,,,,,
"I mean, it-it was like, it was like he angrye us into a team.",sad,,,,,,
"Yep, we sure showed those Hassidic jewellers a thing or two about softball..",happy,,,,,,
Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,fearful,,,,,,
What?,neutral,,,,,,
"..I dunno, a little too Alan?",neutral,,,,,,
"Well, no. That's impossible. You can never be too Alan.",angry,,,,,,
"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.",happy,,,,,,
I personally could have a gallon of Alan.,happy,,,,,,
"Hey, Lizzie.",neutral,,,,,,
"Hey, Weird Girl.",neutral,,,,,,
I brought you alphabet soup.,neutral,,,,,,
Did you pick out the vowels?,neutral,,,,,,
Saltines?,neutral,,,,,,
"No, but would you like a thousand dollars and a football phone?",neutral,,,,,,
"What? Oh my God, there's really money in here.",happy,,,,,,
I know.,neutral,,,,,,
"Weird Girl, what are you doing?",neutral,,,,,,
"No, I want you to have it. I don't want it.",neutral,,,,,,
"No, no, I ha-I have to give you something.",neutral,,,,,,
"Oh, that's fine, no.",neutral,,,,,,
Would you like my tin-foil hat?,happy,,,,,,
"No. 'Cause you need that. No, it's okay, thanks.",neutral,,,,,,
"Please, let me do something.",neutral,,,,,,
"Okay, alright, you buy me a soda, and then we're even. Okay?",neutral,,,,,,
Okay.,neutral,,,,,,
Okay.,neutral,,,,,,
A thumb?!,neutral,,,,,,
Eww!,fearful,,,,,,
"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!",angry,,,,,,
"Well, maybe it's a contest, y'know? Like, collect all five?",neutral,,,,,,
"Does, um, anyone wanna see?",neutral,,,,,,
Nooo!,fearful,,,,,,
"Oh, hey, don't do that! Cut it out!",fearful,,,,,,
It's worse than the thumb!,fearful,,,,,,
"Hey, this is so unfair!",neutral,,,,,,
"Oh, why is it unfair?",neutral,,,,,,
"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?",fearful,,,,,,
...Does the knuckle-cracking bother everybody?,sad,,,,,,
"Well, I-I could live without it.",neutral,,,,,,
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",neutral,,,,,,
"Oh, now, don't listen to him, Pheebs, I think it's endearing.",happy,,,,,,
"Oh, ""you do, do you""?",happy,,,,,,
"You know, there's nothing wrong with speaking correctly.",neutral,,,,,,
"""Indeed there isn't""... I should really get back to work.",neutral,,,,,,
"Yeah, 'cause otherwise someone might get what they actually ordered.",neutral,,,,,,
"Ohh-ho-hooohhh. The hair comes out, and the gloves come on.",angry,,,,,,
Did you ever go out with a guy your friends all really like?,neutral,,,,,,
No.,neutral,,,,,,
"Okay.. Well, I'm going out with a guy my friends all really like.",happy,,,,,,
"Waitwait.. we talking about the coyotes here? All right, a cow got through!",happy,,,,,,
"Can you believe it? ...Y'know what? I just don't feel the thing. I mean, they feel the thing, I don't feel the thing.",fearful,,,,,,
"Honey.. you should always feel the thing. Listen, if that's how you feel about the guy, Monica, dump him!",happy,,,,,,
I know.. it's gonna be really hard.,sad,,,,,,
"Well, he's a big boy, he'll get over it.",happy,,,,,,
"No, he'll be fine. It's the other five I'm worried about.",sad,,,,,,
Do you have any respect for your body?,neutral,,,,,,
Don't you realise what you're-you're doing to yourself?,angry,,,,,,
"Hey, y'know, I have had it with you guys and your cancer and your emphysema and your heart disease. The bottom line is, smoking is cool, and you know it.",angry,,,,,,
"Chandler? It's Alan, he wants to speak to you.",neutral,,,,,,
"Really? He does? Hey, buddy, what's up! Oh, she told you about that, huh. Well, yeah, I have one now and then. Well, yeah, now. Well, it's not that big- ..well, that's true,.. Gee, y'know, no-one- no-one's ever put it like that before. Well, okay, thanks!",happy,,,,,,
"God, he's good.",happy,,,,,,
If only he were a woman.,sad,,,,,,
Yeah.,neutral,,,,,,
Wow.,happy,,,,,,
"I'm, I'm really sorry.",sad,,,,,,
"Yeah, I'm sorry too. But, I gotta tell you, I am a little relieved.",happy,,,,,,
Relieved?,neutral,,,,,,
"Yeah, well, I had a great time with you.. I just can't stand your friends.",angry,,,,,,
Remember when we went to Central Park and rented boats?.. That was fun.,happy,,,,,,
Yeah. He could row like a viking.,happy,,,,,,
Hi.,neutral,,,,,,
Mmm.,happy,,,,,,
So how'd it go?,neutral,,,,,,
"Oh, y'know..",sad,,,,,,
Did he mention us?,fearful,,,,,,
"You had a rough day, huh.. c'mere.",happy,,,,,,
...That's it. I'm getting cigarettes.,happy,,,,,,
No no no!,angry,,,,,,
"I don't care, I don't care! Game's over! I'm weak! I've gotta smoke! I've gotta have the smoke!",fearful,,,,,,
If you never smoke again I'll give you seven thousand dollars!,happy,,,,,,
"Yeah, alright.",neutral,,,,,,
Alright. Phoebe?,neutral,,,,,,
"Okay, okay. If I were omnipotent for a day, I would want, um, world peace, no more hunger, good things for the rain-forest...And bigger boobs!",happy,,,,,,
"Yeah, see.. you took mine. Chandler, what about you?",happy,,,,,,
"Uh, if I were omnipotent for a day, I'd.. make myself omnipotent forever.",happy,,,,,,
"See, there's always one guy. ""If I had a wish, I'd wish for three more wishes.""",happy,,,,,,
"Hey Joey. Hi. Hey, buddy.",happy,,,,,,
"Hey, Joey, what would you do if you were omnipotent?",neutral,,,,,,
Probably kill myself!,neutral,,,,,,
..Excuse me?,neutral,,,,,,
"Hey, if Little Joey's dead, then I got no reason to live!",sad,,,,,,
"Joey, uh- OMnipotent.",neutral,,,,,,
"You are? Ross, I'm sorry..",sad,,,,,,
...Poulet passes it up to Leetch!,happy,,,,,,
Leetch spots Messier in the crease- there's the pass!,happy,,,,,,
We'll take a brief time out while Messier stops to look at some women's shoes.,neutral,,,,,,
What?,neutral,,,,,,
Peach pit.,neutral,,,,,,
"Yes, Bunny?",happy,,,,,,
"Peach pit. That night we, uh- we had-",neutral,,,,,,
#NAME?,happy,,,,,,
"Actually, nectarines, but basically...",happy,,,,,,
Could've been a peach.,happy,,,,,,
"Then, uh, then we got dressed, and I-I... I walked her to the- -the bus stop... I'm fine.",neutral,,,,,,
"Hey, that woman's got an ass like Carol's! What? Thought we were trying to find stuff.",happy,,,,,,
"So c'mon, you guys, tell me all the dirt!",happy,,,,,,
"Well, the biggest news is still you dumping Barry at the altar!",happy,,,,,,
Alright. Let's talk reality for a second.,neutral,,,,,,
Okay.,neutral,,,,,,
When are you coming home?,neutral,,,,,,
"What? Guys, I'm not.",angry,,,,,,
"C'mon, this is us.",neutral,,,,,,
Waitressing?,neutral,,,,,,
Well. Your mom didn't tell us about the blobbies.,neutral,,,,,,
"Hey, Rach. How was it with your friends? Okay! How would you like some Tiki Death Punch?",happy,,,,,,
What's that?,neutral,,,,,,
"Weeeell, it's rum, and-",neutral,,,,,,
Okay.,neutral,,,,,,
"Ooh! Ooh! And I brought Operation! But, um, I lost the tweezers, so we can't operate. But we can prep the guy!",happy,,,,,,
"Uh, Rach, it's the Visa card people.",neutral,,,,,,
"Oh, God, ask them what they want.",fearful,,,,,,
"Could you please tell me what this is in reference to? Yes, hold on. Um, they say there's been some unusual activity on your account.",neutral,,,,,,
But I haven't used my card in weeks!,fearful,,,,,,
"Uh- Rachel has left the building, can you call back?",neutral,,,,,,
"Alright, c'mon! Let's play Twister!",sad,,,,,,
You should feel great about yourself! You're doing this amazing independence thing!,happy,,,,,,
"Monica, what is so amazing? I gave up, like, everything. And for what?",sad,,,,,,
You are just like Jack.,neutral,,,,,,
...Jack from downstairs?,neutral,,,,,,
"No, Jack and the Beanstalk.",neutral,,,,,,
"Ah, the other Jack.",neutral,,,,,,
"Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..",happy,,,,,,
"Okay, but Pheebs, Pheebs, Jack gave up a cow, I gave up an orthodontist. Okay, I-I-I know, I know I didn't love him-",neutral,,,,,,
"Oh, see, Jack did love the cow.",neutral,,,,,,
"But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...",neutral,,,,,,
Floopy?,neutral,,,,,,
Yeah.,neutral,,,,,,
"Oh, like that's a word.",neutral,,,,,,
"Okay, but Monica, what if- what if it doesn't come together?",fearful,,,,,,
...Pheebs?,neutral,,,,,,
"Oh, well... 'cause.... you just... I don't like this question.",neutral,,,,,,
"Okay, see, see, you guys, what if we don't get magic beans? I mean, what if all we've got are.. beans?",neutral,,,,,,
"Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!",angry,,,,,,
"See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.",neutral,,,,,,
Pass it! Pass it!,happy,,,,,,
He's open!,happy,,,,,,
Shoot! Shoot! Shoot!,happy,,,,,,
"Hey, look, we're on that TV thing!",happy,,,,,,
'Scuse me.,neutral,,,,,,
"It says to call this number if you're not completely satisfied with this candy bar. Well, I'm not completely satisfied.",angry,,,,,,
"Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room.",angry,,,,,,
"Hold on. Fill these out, sit over there.",angry,,,,,,
"Look, I don't wanna make any trouble, okay, but I'm in a lot of pain here, alright? My face is dented.",angry,,,,,,
"Well, you'll have to wait your turn.",angry,,,,,,
"Well, how long do you think it'll be?",neutral,,,,,,
Any minute now.,angry,,,,,,
"Hey, this- Heyy...",angry,,,,,,
Light still out?,neutral,,,,,,
Yeah.,neutral,,,,,,
Oh. Maybe they're- napping.,neutral,,,,,,
"Oh please, they're having sex.",happy,,,,,,
Shut up!,angry,,,,,,
"So, whaddya think George is like?",neutral,,,,,,
I think he's shy.,neutral,,,,,,
Yeah?,neutral,,,,,,
"Look, it's just a little more complicated...",fearful,,,,,,
"Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?",happy,,,,,,
"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",angry,,,,,,
Then what?,neutral,,,,,,
My first time with Carol was...,fearful,,,,,,
What?,neutral,,,,,,
It was my first time.,sad,,,,,,
With Carol? Oh.,neutral,,,,,,
"So in your whole life, you've only been with one oh.",neutral,,,,,,
"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!",happy,,,,,,
"Okay. Okay, I got one. Do you remember that vegetarian pate that I angrye that you loved so much?",happy,,,,,,
Uh-huh.,neutral,,,,,,
"Well, unless goose is a vegetable...ha haaaah!",happy,,,,,,
"Oh! Oh! Oh! Okay, fine, fine. Now I don't feel so bad about sleeping with Jason Hurley.",angry,,,,,,
What?! You slept with Jason?,angry,,,,,,
You'd already broken up.,neutral,,,,,,
How long?,neutral,,,,,,
A couple hours.,neutral,,,,,,
"Oh, that's nice!",angry,,,,,,
"Okay, okay, okay, I got one! Anyway- The valentine Tommy Rollerson left in your locker was really from me.",happy,,,,,,
Excuse me?!,angry,,,,,,
Hello? Like he was really gonna send you one? She was a big girl.,happy,,,,,,
"Really. Well, at least 'big girls' don't pee in their pants in seventh grade!",angry,,,,,,
I was laughing! You angrye me laugh!,angry,,,,,,
There he is! There he is!,happy,,,,,,
Where?,neutral,,,,,,
He is so cute!,happy,,,,,,
"Oh, George, baby, drop the towel!",happy,,,,,,
Man. Can you believe he's only had sex with one woman?,happy,,,,,,
"I think it's great. Y'know, it's sweet, it's romantic...",neutral,,,,,,
Really?,fearful,,,,,,
"No, you kidding? The guy's a freak..",happy,,,,,,
"Hey, buddy.",neutral,,,,,,
Hi.,angry,,,,,,
"Oh, that's attractive.",happy,,,,,,
"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.",happy,,,,,,
"Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?",angry,,,,,,
"Oh, ah- the kid has it.",neutral,,,,,,
"The kid...? Excuse me, uh, that's, that's my puck.",angry,,,,,,
"I found it. Finders keepers, losers weepers.",happy,,,,,,
"You gotta do it, man.",happy,,,,,,
"Oh yeah? Well, I'm rubber, you're glue, whatever can't do it. Listen, uh- gimme back my puck.",happy,,,,,,
No.,happy,,,,,,
"'Yes', how about. C'mere. Gimme!",angry,,,,,,
No! No!,angry,,,,,,
Hey! Hey! No rough holding in my ER!,angry,,,,,,
GIVE ME MY PUCK!!,angry,,,,,,
...Now that was fun.,happy,,,,,,
"Okay, Monica: Right foot red.",happy,,,,,,
"Could've played Monopoly, but nooooo.",happy,,,,,,
Thanks.,neutral,,,,,,
"Okay, Pheebs: Right hand blue. Good.",happy,,,,,,
"Hello? Oh, uh, Rachel, it's the Visa card people.",neutral,,,,,,
"Oh, okay. Will you take my place?",neutral,,,,,,
"Alright. Yes, this is Rachel.",neutral,,,,,,
"Nooo! Hello? Oh, yeah, no, I know, I-I haven't been using it much. Oh, well, thanks, but, I'm okay, really.",neutral,,,,,,
Green. To the green.,neutral,,,,,,
I've got magic beans. Never-never mind.,neutral,,,,,,
"To the left, to the left- aww!",happy,,,,,,
Ohhh... I'm fine.,neutral,,,,,,
Would you let it go? It's not that big a deal.,angry,,,,,,
Come on! You guys can pee standing up.,angry,,,,,,
"We can? All right, I'm tryin' that.",happy,,,,,,
"Oh, ok, you know what I don't get? The way guys can do so many mean things, and then not even care.",angry,,,,,,
Multiple orgasms!,neutral,,,,,,
"Monica, I'm tellin' you, this guy is perfect for you.",happy,,,,,,
Forget it. Not after your cousin who could belch the alphabet.,angry,,,,,,
"Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is...",happy,,,,,,
"Oh, god help us.",fearful,,,,,,
What?,neutral,,,,,,
Ugly Naked Guy's laying kitchen tile. Eww!,angry,,,,,,
"Eww! Look, I'm asking a favor here. If I do this for her brother, maybe Angela will come back to me.",sad,,,,,,
What's going on here? You go out with tons of girls.,neutral,,,,,,
"I know, but, I angrye a huge mistake. I never should have broken up with her. Will you help me? Please?",sad,,,,,,
"Ok, bye. Well, Monica's not coming, it's just gonna be me and Rachel.",neutral,,,,,,
"Oh. Well, hold on camper, are you sure you've thought this thing through?",neutral,,,,,,
It's laundry. The thinking through is minimal.,neutral,,,,,,
"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",happy,,,,,,
Nuh-uh.,neutral,,,,,,
Yuh-huh.,neutral,,,,,,
"So what're you saying here? I should shave again, pick up some wine, what?",fearful,,,,,,
No.,neutral,,,,,,
"Oh, and uh, the fabric softener?",neutral,,,,,,
"Ok, ok, now what is wrong with my Snuggles? What, it says I'm a sensitive, warm kinda guy, you know, like a warm, fuzzy bear. Ok, I can pick something else up on the way.",happy,,,,,,
There you go.,happy,,,,,,
Thank you. So what does this Bob guy look like? Is he tall? Short?,happy,,,,,,
Yep.,neutral,,,,,,
Which?,neutral,,,,,,
Which what?,neutral,,,,,,
"You've never met Bob, have you?",angry,,,,,,
"No, but he's...",neutral,,,,,,
"Hey, Joey.",neutral,,,,,,
...horribly attractive. I'll be shutting up now.,sad,,,,,,
Where are they? Where are they?,fearful,,,,,,
This is nice. We never do anything just the two of us.,happy,,,,,,
It's great. Maybe tomorrow we can rent a car and run over some puppies.,happy,,,,,,
"Eww, I don't wanna do that.",angry,,,,,,
Here we go.,neutral,,,,,,
"Ok, have a good break-up.",neutral,,,,,,
"Hey, Janice.",neutral,,,,,,
"Hey, that's not good. Can I get an espresso and a latte over here, please?",neutral,,,,,,
What?,neutral,,,,,,
What?,neutral,,,,,,
What... did you get me there?,neutral,,,,,,
I got you...these.,neutral,,,,,,
Bullwinkle socks. That's so sweet.,happy,,,,,,
That's great.,happy,,,,,,
"No, no, I'm still working on mine.",neutral,,,,,,
That's it?,neutral,,,,,,
"Yeah, it was really hard.",neutral,,,,,,
"Oh, yeah, that hug looked pretty brutal.",neutral,,,,,,
"Ok, you weren't there.",neutral,,,,,,
"He is so cute. So, where did you guys grow up?",happy,,,,,,
Brooklyn Heights.,neutral,,,,,,
Cleveland.,neutral,,,,,,
"How, how did that happen?",neutral,,,,,,
Oh my god.,fearful,,,,,,
What?,neutral,,,,,,
I suddenly had the feeling that I was falling. But I'm not.,fearful,,,,,,
"So, you and Angela, huh?",happy,,,,,,
Yep. Pretty much.,happy,,,,,,
"You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel.",happy,,,,,,
"Huh, I never really noticed.",neutral,,,,,,
"Oh, yeah, yeah, listen for it.",happy,,,,,,
"Monica, Monica is great.",happy,,,,,,
"Yeah, but it's not gonna last. She's too much for me in bed. Sexually.",happy,,,,,,
"I've gotta tell you, Bob is terrific.",happy,,,,,,
"Yeah, isn't he?",neutral,,,,,,
You know what else? He's unbelievable in bed.,happy,,,,,,
Wow. My brother never even told me when he lost his virginity.,happy,,,,,,
Huh. That's nice.,neutral,,,,,,
"Ok, I know this is gonna sound really stupid, but I feel that if I can do this, you know, if I can actually do my own laundry, there isn't anything I can't do.",happy,,,,,,
"That does not sound stupid to me. You know, it's like the first time I had to make dinner for myself, after Carol left me? I'm sorry, that's all the time we have. Next on Ross... Uh-oh.",fearful,,,,,,
What uh-oh?,fearful,,,,,,
"Uh-oh, uh-oh, the laundry's done. It's, uh, it's a song. The laundry song that we sing. Uh-oh the laundry's done, uh-oh, uh-oh.",fearful,,,,,,
"Ross, what's the matter?",fearful,,,,,,
"Nothing, nothing. Lee-lo, the laundry's done.",angry,,,,,,
"Come on, show me.",fearful,,,,,,
"Oh, everything's pink.",sad,,,,,,
"Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!",sad,,,,,,
Oh my god.,fearful,,,,,,
What?,neutral,,,,,,
Hello! Were we at the same table? It's like... cocktails in Appalachia.,neutral,,,,,,
"Come on, they're close.",neutral,,,,,,
Close? She's got her tongue in his ear.,happy,,,,,,
"Oh, like you've never gotten a little rambunctious with Ross.",happy,,,,,,
"Joey, this is sick, it's disgusting, it's, it'snot really true, is it?",sad,,,,,,
"Well, who's to say what's true? I mean...",neutral,,,,,,
"Oh my god, what were you thinking?",angry,,,,,,
"All right, look, I'm not proud of this, ok? Well, maybe I am a little.",neutral,,,,,,
Oh!,neutral,,,,,,
Ow!,happy,,,,,,
I'm outta here.,neutral,,,,,,
Really?,neutral,,,,,,
"Yeah. I'm thinking, if we put our heads together, between the two of us, we can break them up.",happy,,,,,,
"I'm so sorry, I can't believe I did this, but I couldn't stop laughing at your Norman Mailer story.",fearful,,,,,,
"Uh, waiter, one more plate of chicken wings over here.",neutral,,,,,,
Ow!,sad,,,,,,
"Oh, my god, I'm so sorry. Are you ok?",fearful,,,,,,
"Ow. Um, it's just my lens. It's just my lens. I'll be right back.",angry,,,,,,
I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.,happy,,,,,,
Oh my god. How many of those have you had?,fearful,,,,,,
