Utterance,Emotion
"So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?",neutral
Ooooohh!,surprised
"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",neutral
"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",neutral
Was it...?,surprised
"Oh, boy scouts could have camped under there.",neutral
Uma Thurman.,neutral
Oh!,surprised
"Oh, boy scouts could have camped under there.",neutral
"""Ooo,"" what?",surprised
Uma Thurman.,neutral
Oh!,surprised
The actress!,surprised
Thanks Rach.,neutral
You have to tell her!,happy
You have to tell her!,happy
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",angry
Guys?,angry
Guys?,angry
The actress!,surprised
Thanks Rach.,neutral
So what are you gonna do?,surprised
You have to tell her!,happy
You have to tell her!,happy
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",angry
Guys?,angry
Guys?,angry
"Oh, yeah, you have to tell her.",neutral
"Oh, yeah, you have to tell her.",neutral
Feminist issue. That's where I went!,neutral
Feminist issue. That's where I went!,neutral
She is gonna hate me.,fearful
The actress!,surprised
Thanks Rach.,neutral
You have to tell her!,happy
You have to tell her!,happy
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",angry
Guys?,angry
Guys?,angry
She is gonna hate me.,fearful
"Yeah, well...",neutral
Will you marry me?,fearful
It’s the big night! We wanted to wish you good luck!,happy
It’s the big night! We wanted to wish you good luck!,happy
"Yeah, yeah you have the ring?",neutral
"Yeah, yeah you have the ring?",neutral
"Yeah, right here in my pocket.  Pheebs?",neutral
"Okay, now will you guys get out of here? I want this is to be a surprised and she’s gonna know.",neutral
Yeah-yeah you guys. Get out of here!,neutral
"Yeah, right here in my pocket.  Pheebs?",neutral
Oh! Oop!,surprised
"Okay, now will you guys get out of here? I want this is to be a surprised and she’s gonna know.",neutral
Yeah-yeah you guys. Get out of here!,neutral
Hi guys.,neutral
Hi guys.,neutral
You are beautiful.,happy
"Oh, thank you!   What’s going on?",happy
"Oh, thank you!   What’s going on?",happy
We’re just really…very excited about this charity event that we have to go to.,neutral
"Okay umm, Ross?",neutral
"I'm-I'm really warm, so I'm going to be taking off my sweater.",neutral
"Now, I'm just letting you know that this is",neutral
Yep! That's hilarious!,happy
I'm sorry. I'm done. I'm done.,neutral
"Y'know, last night was embarrassing for you too.",neutral
"No, not really. I mean you've seen me naked hundreds of times.",neutral
Uh-huh. But it was a first for the rest of my building.,neutral
"Okay. All right, that's true! But y'know I just don't embarrass that easily.",neutral
What?! You totally get embarrassed!,surprised
"No, I don't! Ross, I think I'm just a more secure person than you are.",neutral
Is that so?,neutral
Yeah.,neutral
Hey lady! I don't care how much you want it! Okay?! I am,disgusted
I can’t believe it!,surprised
I did it!,happy
I rode a bike!,happy
I never thought I’d be able to do that!,happy
Thank you Ross.,happy
"Oh hey, don’t thank me, thank yourself. You’re the one who faced her fearfuls and ultimately overcame them.",happy
"Hey, both you guys should be up there with me.",neutral
"I mean, you two are-are my… I mean, I’m lucky to have just one good",neutral
Thanks man.,neutral
What a baby.,sad
Total wuss!,sad
Thanks man.,neutral
I gotta go check something over here.,neutral
What a baby.,sad
"Okay, we have a lot of options here, a number of prototypes for you to try on.",neutral
Wow! This looks great!,happy
"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",happy
And-and-and-and-and the toothpicks?,disgusted
You kissed another woman!,angry
Call it even?!,neutral
Okay!,happy
Okay!,happy
"Well, I’m gonna go get these  in some water.",neutral
"No-no, I took them from the hotel lobby.",neutral
"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",angry
Hey!,surprised
My sweater!,surprised
I’ve been looking for this for like a month!,surprised
"Well, I’m gonna go get these  in some water.",neutral
Wait you stole those from these people’s wedding?,surprised
"No-no, I took them from the hotel lobby.",neutral
"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",angry
Hey!,surprised
My sweater!,surprised
I’ve been looking for this for like a month!,surprised
Oh my God!!,surprised
Oh my God!!,surprised
Oh my God!,surprised
Happy?! Is that what I’m supposed to be Vic? Happy?,angry
"Well, why don’t you tell me what you’re supposed to be!",angry
Huh?,surprised
Because I sure as hell can’t figure it out!,angry
I talk to you and nothin’.,angry
"You look at me, and it’s nothin’.",angry
Nothing.,angry
Yeah.,neutral
I think my character’s gonna need a little bit more of reason than that.,neutral
"Oh, hey, how about this one.",neutral
"Ah, it’s says so in the script!",angry
"Y'know ah, I-I don’t know why my character likes you either, I mean it says in the script here that you’re a bitch.",angry
It doesn’t say that in the script.,angry
It does in mine!,angry
"Well, why don’t you tell me what you’re supposed to be!",angry
Huh?,surprised
Because I sure as hell can’t figure it out!,angry
I talk to you and nothin’.,angry
"You look at me, and it’s nothin’.",angry
Nothing.,angry
"Tasty! I’m really starting to feel like you guys have a history, it’s-it’s nice.",happy
"Peel the onion. First of all, he’s good looking.",neutral
Yeah.,neutral
"Oh, hey, how about this one.",neutral
"Ah, it’s says so in the script!",angry
"Y'know ah, I-I don’t know why my character likes you either, I mean it says in the script here that you’re a bitch.",angry
"Tasty! I’m really starting to feel like you guys have a history, it’s-it’s nice.",happy
I have a question about this scene.,neutral
Yes?,neutral
"Well, I don’t understand why Adrienne’s attracted to Victor.",disgusted
"Peel the onion. First of all, he’s good looking.",neutral
I can’t,angry
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,angry
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,angry
Y’know who has a great video camera?,neutral
Let’s call ‘em.,neutral
Yeah! Ask them if they brought their friends any souvenirs!,happy
Y’know who has a great video camera?,neutral
Greg and Jenny?,neutral
Greg and Jenny?,neutral
Do you still wanna call ‘em? I wanna call ‘em.,neutral
Do you still wanna call ‘em? I wanna call ‘em.,neutral
Let’s call ‘em.,neutral
"Uh sorry, wrong number.",fearful
Here you go.,neutral
Hello?   It’s the deli again!,surprised
Yeah! Ask them if they brought their friends any souvenirs!,happy
Hello?  Eighth street deli?,neutral
"Hey, hang up! You get food poisoning just talkin’ to that place.",disgusted
"Uh sorry, wrong number.",fearful
Hello?   It’s the deli again!,surprised
All right! I’ll have a sandwich!,happy
I don’t think this number’s right!,sad
I don’t think this number’s right!,sad
Oh come on!!,sad
"Gotta go. I miss you too, I love you, but it's getting real late now",sad
"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?",surprised
Her name's Ronni. She's a pet mortician.,neutral
Sure. So how long you been...,neutral
"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?",neutral
Since then?!,surprised
"No, it's only been six years.",neutral
I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,neutral
...Joe.,neutral
Y'ever been in love?,neutral
...I d'know.,neutral
Then y'haven't. You're burning your tomatoes.,neutral
You're one to talk.,disgusted
"Joe, your dad's in love big time. And the worst part of it is, it's with two different women.",neutral
Oh man. Please tell me one of 'em is Ma.,disgusted
"Of course, course one of 'em's Ma. What's the matter with you.",surprised
"Everything’s gonna be all right. Okay, Dick?",neutral
"Hello, I am Guru Saj--Whoa!!  That’s supposed to be a duck right? ‘Cause otherwise, this is waaay out of my league.",surprised
"Hey, Rach, how was work?",neutral
"Oh, great. Although I did sit down where there wasn’t a chair.",neutral
"By the way, Ross dropped by a box of your stuff.",neutral
"Oh, well, I guess I had that one coming.",neutral
"I’m just gonna throw it out, it’s probably just a bunch of shampoo and...",neutral
Something wrong?,neutral
No. Nothing.,neutral
"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century.",neutral
"Yeah, that's it?",surprised
Yeah.,neutral
"Dude, I am sorry about what I said!",sad
"No, no, you’re right, it is a ridiculous name!",disgusted
It’s not that bad.,neutral
"Yes it is! From now on, I have no first name.",angry
"So, you’re just Bing?",neutral
Because we won our apartment back!,happy
"What? Ace is high! Jack, queen, king, ace!",surprised
"No! Ace is low! Ace, two, three, four!",angry
"But, we pick again! We pick again!",happy
Why?!,neutral
I don’t know!,fearful
"No! Ace is low! Ace, two, three, four!",angry
I don’t know. Ooh! Ooh! Look it!  Ah-ha!,surprised
I don’t know. Ooh! Ooh! Look it!  Ah-ha!,surprised
"All right, cut, let’s pick again, pick again.",neutral
"All right, cut, let’s pick again, pick again.",neutral
Okay.,neutral
Come on apartment! Come on apartment!  Oh! I know queen is high!,angry
"Uh-huh, not as high as… It worked! King!",surprised
"Uh-huh, not as high as… It worked! King!",surprised
Yeah baby!,happy
Tickets please!  That’s courtside baby!,happy
"Seriously, good game though. Good game.   What are they so mad about? They get the apartment back!",surprised
No they didn’t!,happy
Yeah baby!,happy
"But, we pick again! We pick again!",happy
I don’t know!,fearful
Tickets please!  That’s courtside baby!,happy
"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?",neutral
It's gonna be worth it.,neutral
"It's a known fact that women love babies, all right?",neutral
Women love guys who love babies.,neutral
It's that whole sensitive thing.,neutral
"Quick, aim him at that pack o' babes over there.",neutral
Maybe one of them will break away.,neutral
"No, no wait, for get them, we got one, hard left.",happy
"All right, gimme the baby.",neutral
"No, I got him.",neutral
"Oh, seriously you want him?",surprised
Hello.,neutral
"Well, don't, don't think me immodest, but, me?",surprised
You wanna smell him?,neutral
"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",happy
What'd I tell you? What'd I tell you?,happy
"Well, we are great guys.",neutral
"Well, not really.",neutral
"I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.",neutral
"Especially by that professor we ran into last night, Judgey von Holierthanthou.",angry
"Well Ross, you be careful now. You don’t want to get a reputation as y’know Professor McNailshisstudents.",happy
Yeah. What-what should I do?,fearful
What?! You’re going out with her again!,surprised
Going out with who?,neutral
"Well, not really.",neutral
"I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.",neutral
"Especially by that professor we ran into last night, Judgey von Holierthanthou.",angry
Yeah. What-what should I do?,fearful
"Well Ross, it seems pretty clear.",neutral
I mean what’s more important?,neutral
"What people think or how you feel, huh?",neutral
"Ross, you gotta follow your heart.",neutral
"Well Ross, it seems pretty clear.",neutral
I mean what’s more important?,neutral
"What people think or how you feel, huh?",neutral
"Ross, you gotta follow your heart.",neutral
Joey that is so sweet.,happy
Joey! You didn’t even know her!,surprised
Ah whatever!,angry
Joey that is so sweet.,happy
Hey.,neutral
"Hey, relax I just need more time. We’re going to dinner tonight.",neutral
What?! You’re going out with her again!,surprised
"No, that was Dana Caplin.",neutral
Joey! You didn’t even know her!,surprised
"Well Ross, it seems pretty clear.",neutral
I mean what’s more important?,neutral
"What people think or how you feel, huh?",neutral
"Ross, you gotta follow your heart.",neutral
Hey.,neutral
"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",neutral
I couldn’t do it.,sad
You couldn’t do it?!,surprised
"Hey, relax I just need more time. We’re going to dinner tonight.",neutral
"Well, not really.",neutral
"I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.",neutral
"Especially by that professor we ran into last night, Judgey von Holierthanthou.",angry
Going out with who?,neutral
"Uh, Dana Keystone from college.",neutral
Oh yeah! Wasn’t she uh,surprised
